parameter_server-1  | [Parameter Server] Starting on port 12345 (Hybrid Mode)
worker2_stage2-1    | [Stage2 Group 2] Processed 8000 images
parameter_server-1  | [Parameter Server] Worker connected (request #30)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 29.893ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 22.997ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 12.354ms
parameter_server-1  | [Parameter Server] Request #30 (HIDDEN) processed in 68.057ms
parameter_server-1  | [Parameter Server] === Processed 30 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 8000 images (sync #8)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 28.797ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 10.628ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 71.238ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 8000 images
worker1_stage2-1    | [Stage2 Group 1] Syncing after 8000 images (sync #8), avg_loss=0.134918
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.124ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.276ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.573ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 8000 images
parameter_server-1  | [Parameter Server] Worker connected (request #31)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.238ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.325ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.470ms
parameter_server-1  | [Parameter Server] Request #31 (OUTPUT) processed in 1.297ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #32)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 3.473ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 19.712ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 4.609ms
parameter_server-1  | [Parameter Server] Request #32 (HIDDEN) processed in 30.895ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 8000 images (sync #8)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 2.456ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 3.954ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 31.926ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 8000 images
parameter_server-1  | [Parameter Server] Worker connected (request #33)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.018ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.195ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.418ms
parameter_server-1  | [Parameter Server] Request #33 (OUTPUT) processed in 0.831ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 9000 images (sync #9), avg_loss=0.193286
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.064ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.255ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.032ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 9000 images
parameter_server-1  | [Parameter Server] Worker connected (request #34)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 12.862ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 17.073ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 2.417ms
parameter_server-1  | [Parameter Server] Request #34 (HIDDEN) processed in 36.042ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 9000 images (sync #9)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 11.444ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 2.840ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 46.320ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 9000 images
parameter_server-1  | [Parameter Server] Worker connected (request #35)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.026ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.223ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.189ms
parameter_server-1  | [Parameter Server] Request #35 (OUTPUT) processed in 0.695ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 9000 images (sync #9), avg_loss=0.197721
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.095ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.017ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.169ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 9000 images
parameter_server-1  | [Parameter Server] Worker connected (request #36)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 2.184ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 19.686ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 9000 images (sync #9)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 1.906ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 5.211ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 37.704ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 9000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 4.967ms
parameter_server-1  | [Parameter Server] Request #36 (HIDDEN) processed in 36.630ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #37)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.018ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.184ms
worker2_stage2-1    | [Stage2 Group 2] Syncing after 10000 images (sync #10), avg_loss=0.214552
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.110ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.246ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.098ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 10000 images
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.387ms
parameter_server-1  | [Parameter Server] Request #37 (OUTPUT) processed in 0.790ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #38)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 10.654ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 33.623ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 4.670ms
parameter_server-1  | [Parameter Server] Request #38 (HIDDEN) processed in 54.327ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 10000 images (sync #10)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 6.198ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 4.109ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 56.743ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 10000 images
parameter_server-1  | [Parameter Server] Worker connected (request #39)
worker1_stage2-1    | [Stage2 Group 1] Syncing after 10000 images (sync #10), avg_loss=0.213018
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.065ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.318ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.062ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 10000 images
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.014ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.170ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.422ms
parameter_server-1  | [Parameter Server] Request #39 (OUTPUT) processed in 0.764ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #40)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 5.598ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 16.924ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 10000 images (sync #10)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 5.202ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 3.300ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 31.046ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 10000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 3.311ms
parameter_server-1  | [Parameter Server] Request #40 (HIDDEN) processed in 28.017ms
parameter_server-1  | [Parameter Server] === Processed 40 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #41)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.133ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.178ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.197ms
parameter_server-1  | [Parameter Server] Request #41 (OUTPUT) processed in 0.701ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 11000 images (sync #11), avg_loss=0.224144
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.171ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.020ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 0.997ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 11000 images
parameter_server-1  | [Parameter Server] Worker connected (request #42)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 4.781ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 18.006ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 11000 images (sync #11)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 4.154ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 3.504ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 33.182ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 11000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 5.596ms
parameter_server-1  | [Parameter Server] Request #42 (HIDDEN) processed in 31.841ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #43)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.018ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 1.602ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.300ms
parameter_server-1  | [Parameter Server] Request #43 (OUTPUT) processed in 2.131ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 11000 images (sync #11), avg_loss=0.228746
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.067ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.021ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 3.314ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 11000 images
parameter_server-1  | [Parameter Server] Worker connected (request #44)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 2.712ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 25.124ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 2.110ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 11000 images (sync #11)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 2.521ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.146ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 36.584ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 11000 images
parameter_server-1  | [Parameter Server] Request #44 (HIDDEN) processed in 35.791ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #45)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.016ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.214ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.364ms
parameter_server-1  | [Parameter Server] Request #45 (OUTPUT) processed in 0.811ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 12000 images (sync #12), avg_loss=0.225004
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.042ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.616ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.796ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 12000 images
parameter_server-1  | [Parameter Server] Worker connected (request #46)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 2.735ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 35.227ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 12000 images (sync #12)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 16.665ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 2.457ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 71.314ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 12000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 5.513ms
parameter_server-1  | [Parameter Server] Request #46 (HIDDEN) processed in 56.398ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #47)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.016ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.206ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.472ms
parameter_server-1  | [Parameter Server] Request #47 (OUTPUT) processed in 0.852ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 12000 images (sync #12), avg_loss=0.233035
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.071ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.347ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.139ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 12000 images
parameter_server-1  | [Parameter Server] Worker connected (request #48)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 4.208ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 27.848ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 15.368ms
parameter_server-1  | [Parameter Server] Request #48 (HIDDEN) processed in 50.549ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 12000 images (sync #12)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 12.082ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 15.264ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 60.661ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 12000 images
parameter_server-1  | [Parameter Server] Worker connected (request #49)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.136ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.138ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.215ms
parameter_server-1  | [Parameter Server] Request #49 (OUTPUT) processed in 0.632ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 13000 images (sync #13), avg_loss=0.234441
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.155ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.108ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 0.842ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 13000 images
parameter_server-1  | [Parameter Server] Worker connected (request #50)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 1.382ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 10.781ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 4.839ms
parameter_server-1  | [Parameter Server] Request #50 (HIDDEN) processed in 18.843ms
parameter_server-1  | [Parameter Server] === Processed 50 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 13000 images (sync #13)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 1.281ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 5.660ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 20.146ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 13000 images
parameter_server-1  | [Parameter Server] Worker connected (request #51)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.012ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.261ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.221ms
parameter_server-1  | [Parameter Server] Request #51 (OUTPUT) processed in 0.725ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 13000 images (sync #13), avg_loss=0.234700
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.528ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.012ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.635ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 13000 images
parameter_server-1  | [Parameter Server] Worker connected (request #52)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 2.057ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 16.367ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 13000 images (sync #13)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 12.756ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 3.918ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 38.380ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 13000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 7.403ms
parameter_server-1  | [Parameter Server] Request #52 (HIDDEN) processed in 27.592ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #53)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.010ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.173ms
worker2_stage2-1    | [Stage2 Group 2] Syncing after 14000 images (sync #14), avg_loss=0.237599
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.061ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.411ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.178ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 14000 images
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.399ms
parameter_server-1  | [Parameter Server] Request #53 (OUTPUT) processed in 0.766ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #54)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 13.150ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 32.065ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 41.670ms
parameter_server-1  | [Parameter Server] Request #54 (HIDDEN) processed in 88.930ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 14000 images (sync #14)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 11.924ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 2.017ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 98.424ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 14000 images
parameter_server-1  | [Parameter Server] Worker connected (request #55)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.011ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.153ms
worker1_stage2-1    | [Stage2 Group 1] Syncing after 14000 images (sync #14), avg_loss=0.236663
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.065ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.118ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.192ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 14000 images
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.269ms
parameter_server-1  | [Parameter Server] Request #55 (OUTPUT) processed in 0.572ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #56)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 4.856ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 21.500ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 14000 images (sync #14)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 6.341ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 1.587ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 65.041ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 14000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 19.486ms
parameter_server-1  | [Parameter Server] Request #56 (HIDDEN) processed in 58.644ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #57)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.024ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.378ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.143ms
parameter_server-1  | [Parameter Server] Request #57 (OUTPUT) processed in 0.793ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #58)
worker2_stage2-1    | [Stage2 Group 2] Syncing after 15000 images (sync #15), avg_loss=0.239125
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.074ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 15.508ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 16.630ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 15000 images
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 6.923ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 18.924ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 1.681ms
parameter_server-1  | [Parameter Server] Request #58 (HIDDEN) processed in 31.312ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 15000 images (sync #15)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 7.534ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 1.565ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 31.664ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 15000 images
worker1_stage2-1    | [Stage2 Group 1] Syncing after 15000 images (sync #15), avg_loss=0.237567
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.056ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.066ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 0.878ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 15000 images
parameter_server-1  | [Parameter Server] Worker connected (request #59)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.011ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.195ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.125ms
parameter_server-1  | [Parameter Server] Request #59 (OUTPUT) processed in 0.578ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #60)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 6.749ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 17.700ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 1.661ms
parameter_server-1  | [Parameter Server] Request #60 (HIDDEN) processed in 28.659ms
parameter_server-1  | [Parameter Server] === Processed 60 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 15000 images (sync #15)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 4.747ms
